s,a,t,Stocks Bought,Stocks Sold
Technology,1,1,0.0,0.0
Technology,1,2,0.0,0.0
Technology,1,3,0.0,0.0
Technology,1,4,0.0,0.0
Technology,1,5,0.0,0.0
Technology,1,6,0.0,0.0
Technology,2,1,0.0,0.0
Technology,2,2,0.0,0.0
Technology,2,3,0.0,0.0
Technology,2,4,0.0,0.0
Technology,2,5,0.0,0.0
Technology,2,6,0.0,0.0
Technology,3,1,0.0,0.0
Technology,3,2,25.0,0.0
Technology,3,3,0.0,25.0
Technology,3,4,0.0,0.0
Technology,3,5,0.0,0.0
Technology,3,6,0.0,0.0
Technology,4,1,0.0,0.0
Technology,4,2,0.0,0.0
Technology,4,3,0.0,0.0
Technology,4,4,0.0,0.0
Technology,4,5,0.0,0.0
Technology,4,6,0.0,0.0
Technology,5,1,0.0,0.0
Technology,5,2,0.0,0.0
Technology,5,3,0.0,0.0
Technology,5,4,0.0,0.0
Technology,5,5,0.0,0.0
Technology,5,6,0.0,0.0
Technology,6,1,0.0,0.0
Technology,6,2,0.0,0.0
Technology,6,3,0.0,0.0
Technology,6,4,0.0,0.0
Technology,6,5,0.0,0.0
Technology,6,6,0.0,0.0
Technology,7,1,0.0,0.0
Technology,7,2,0.0,0.0
Technology,7,3,0.0,0.0
Technology,7,4,0.0,0.0
Technology,7,5,0.0,0.0
Technology,7,6,0.0,0.0
Technology,8,1,0.0,0.0
Technology,8,2,0.0,0.0
Technology,8,3,0.0,0.0
Technology,8,4,0.0,0.0
Technology,8,5,0.0,0.0
Technology,8,6,0.0,0.0
Technology,9,1,0.0,0.0
Technology,9,2,0.0,0.0
Technology,9,3,0.0,0.0
Technology,9,4,0.0,0.0
Technology,9,5,0.0,0.0
Technology,9,6,0.0,0.0
Technology,10,1,0.0,0.0
Technology,10,2,0.0,0.0
Technology,10,3,0.0,0.0
Technology,10,4,0.0,0.0
Technology,10,5,0.0,0.0
Technology,10,6,0.0,0.0
Technology,11,1,0.0,0.0
Technology,11,2,0.0,0.0
Technology,11,3,0.0,0.0
Technology,11,4,0.0,0.0
Technology,11,5,0.0,0.0
Technology,11,6,0.0,0.0
Technology,12,1,0.0,0.0
Technology,12,2,0.0,0.0
Technology,12,3,0.0,0.0
Technology,12,4,0.0,0.0
Technology,12,5,0.0,0.0
Technology,12,6,0.0,0.0
Technology,13,1,0.0,0.0
Technology,13,2,0.0,0.0
Technology,13,3,21.0,0.0
Technology,13,4,0.0,21.0
Technology,13,5,0.0,0.0
Technology,13,6,0.0,0.0
Technology,14,1,104.0,0.0
Technology,14,2,0.0,104.0
Technology,14,3,0.0,0.0
Technology,14,4,0.0,0.0
Technology,14,5,0.0,0.0
Technology,14,6,0.0,0.0
Technology,15,1,0.0,0.0
Technology,15,2,0.0,0.0
Technology,15,3,0.0,0.0
Technology,15,4,0.0,0.0
Technology,15,5,0.0,0.0
Technology,15,6,0.0,0.0
Technology,16,1,0.0,0.0
Technology,16,2,0.0,0.0
Technology,16,3,0.0,0.0
Technology,16,4,0.0,0.0
Technology,16,5,0.0,0.0
Technology,16,6,0.0,0.0
Technology,17,1,0.0,0.0
Technology,17,2,85.0,0.0
Technology,17,3,0.0,85.0
Technology,17,4,110.0,0.0
Technology,17,5,0.0,110.0
Technology,17,6,0.0,0.0
Technology,18,1,0.0,0.0
Technology,18,2,0.0,0.0
Technology,18,3,0.0,0.0
Technology,18,4,0.0,0.0
Technology,18,5,0.0,0.0
Technology,18,6,0.0,0.0
Technology,19,1,0.0,0.0
Technology,19,2,0.0,0.0
Technology,19,3,0.0,0.0
Technology,19,4,2.0,0.0
Technology,19,5,0.0,2.0
Technology,19,6,0.0,0.0
Technology,20,1,0.0,0.0
